

('SWEEP', '10', '10', '1', '00000408')
('115200', '1', '1', '00', '5050')
05
01
(65, 44)
(0, [85, 202.0625])
(1, [75, 205.25])
(2, [68, 208.4375])
(3, [58, 211.625])
(4, [60, 214.5])
(5, [61, 217.5])
(6, [62, 220.3125])
(7, [71, 222.375])
(8, [101, 225.5])
(9, [96, 230.625])
(10, [195, 243.125])
(11, [167, 245.875])
(12, [168, 248.9375])
(13, [185, 251.9375])
(14, [186, 254.5])
(15, [253, 257.5625])
(16, [329, 260.5625])
(17, [312, 263.625])
(18, [314, 266.75])
(19, [307, 269.625])
(20, [302, 272.9375])
(21, [310, 275.8125])
(22, [285, 278.75])
(23, [273, 282.0])
(24, [272, 284.9375])
(25, [288, 288.1875])
(26, [272, 290.9375])
(27, [279, 294.0])
(28, [233, 303.6875])
(29, [311, 306.75])
(30, [312, 309.5])
(31, [345, 319.625])
(32, [419, 323.1875])
(33, [432, 331.875])
(34, [328, 334.75])
(35, [314, 337.5])
(36, [308, 340.0])
(37, [299, 343.125])
(38, [288, 345.625])
(39, [246, 348.375])
(40, [245, 350.9375])
(41, [276, 354.0])
(42, [180, 356.875])
(43, [149, 359.625])
(44, [154, 2.5])
(45, [181, 5.0625])
(46, [170, 8.5])
(47, [40, 21.125])
(48, [28, 32.6875])
(49, [29, 36.125])
(50, [37, 44.125])
(51, [37, 47.1875])
(52, [43, 50.8125])
(53, [24, 54.1875])
(54, [44, 67.1875])
(55, [30, 79.9375])
(56, [5, 92.9375])
(57, [8, 105.6875])
(58, [10, 114.1875])
(59, [28, 126.875])
(60, [58, 140.25])
(61, [67, 147.8125])
(62, [82, 150.375])
(63, [92, 153.3125])
(64, [102, 156.0625])


(82, 59)
(0, [62, 147.125])
(1, [81, 150.0])
(2, [83, 153.125])
(3, [97, 156.0625])
(4, [100, 159.125])
(5, [136, 168.9375])
(6, [119, 171.5])
(7, [124, 174.0625])
(8, [114, 176.6875])
(9, [111, 178.125])
(10, [117, 180.875])
(11, [110, 183.875])
(12, [95, 186.8125])
(13, [96, 189.4375])
(14, [100, 192.25])
(15, [87, 195.1875])
(16, [91, 199.75])
(17, [80, 203.125])
(18, [78, 205.8125])
(19, [70, 209.0625])
(20, [63, 211.9375])
(21, [62, 214.8125])
(22, [64, 218.0])
(23, [63, 220.6875])
(24, [68, 222.1875])
(25, [94, 225.25])
(26, [101, 236.3125])
(27, [192, 245.75])
(28, [167, 248.8125])
(29, [184, 251.6875])
(30, [188, 254.4375])
(31, [239, 257.5])
(32, [323, 260.375])
(33, [313, 263.125])
(34, [316, 266.1875])
(35, [301, 269.25])
(36, [300, 272.0])
(37, [322, 275.0625])
(38, [297, 277.625])
(39, [277, 280.6875])
(40, [274, 283.25])
(41, [274, 286.0])
